city,country,rent_for_one_person,transportation_public,grocery_for_one_person,entertainment,fitness,utility_bills,shopping,childcare_for_one_child,monthly_salary,price_for_toyota_corolla_1.6L_new_car,property_price,monthly_saving
Vilnius,Lithuania,466.21,53.58,156.45,152.9,31.48,147.39,292.34,393.3,1040.1,20029.8,2522.12,-260.24
Johannesburg,South Africa,450.76,81.85,157.87,126.36,37.8,167.02,255.5,247.54,1241.53,20661.41,878.84,-35.63
Barcelona,Spain,955.15,96.33,212.31,186.18,46.9,208.76,308.06,500.33,1646.71,23907.43,4210.68,-366.99
San Diego,"CA, United States",1878.34,130.86,296.72,264.12,37.19,212.11,282.13,1103.35,4894.17,21519.63,5105.58,1792.71
San Francisco,"CA, United States",3225.16,149.66,381.67,323.76,87.87,217.09,348.86,2233.67,7446.72,23002.61,11587.87,2712.65
Lima,Peru,407.37,72.96,162.24,134.34,55.68,118.43,241.34,253.86,501.02,18908.31,1578.3,-691.34
Seattle,"WA, United States",1920.45,153.04,356.32,294.17,55.79,234.05,302.21,1788.22,5405.48,23338.79,6072.57,2089.44
Brasov,Romania,303.86,34.96,138.21,120.61,33.98,123.71,226.45,256.77,632.2,19762.41,1286.38,-349.6
Bucharest,Romania,381.58,26.3,149.29,126.9,40.86,113.66,260.38,365.96,750.87,20861.41,1638.19,-348.09
Tashkent,Uzbekistan,190.31,21.52,99.96,69.13,28.24,77.08,226.12,143.23,234.82,21919.44,680.09,-477.53
Ahmedabad,India,198.66,12.27,110.12,102.42,20.73,63.36,146.82,58.53,346.04,23722.86,671.57,-308.34
Cluj-Napoca,Romania,383.35,33.11,138.58,113.95,29.88,115.47,240.92,298.74,732.86,18825.3,1886.63,-322.39
Madrid,Spain,932.87,99.86,213.32,198.09,40.55,190.22,291.12,504.97,1799.8,24476.31,4673.93,-166.23
Tallinn,Estonia,511.68,43.32,180.3,176.34,51.8,227.24,293.28,286.07,1355.24,19734.14,2532.39,-128.71
Bangalore,India,192.48,25.9,107.98,111.04,22.8,39.85,154.15,100.11,660.31,25587.02,1290.03,6.11
Iasi,Romania,270.59,36.87,133.33,111.58,32.28,141.37,232.41,246.32,603.65,19379.22,1240.2,-354.79
Chennai,India,149.57,20.93,100.96,95.4,20.1,53.82,135.72,58.28,460.35,24629.41,1322.68,-116.14
Doha,Qatar,1250.81,58.25,208.12,333.97,109.31,168.04,300.74,612.58,3223.65,18855.42,3809.42,794.39
Delhi,India,184.4,20.93,103.28,124.53,24.34,70.38,170.57,78.33,540.13,24339.33,1505.35,-158.31
Gurgaon,India,219.21,21.34,113.09,131.15,33.23,87.37,194.65,118.66,979.64,25309.77,1410.92,179.6
Valencia,Spain,647.36,84.7,198.0,161.61,35.74,175.67,287.43,462.43,1530.07,21334.29,2254.55,-60.43
Vienna,Austria,843.61,103.28,276.75,203.88,31.28,217.18,343.32,241.54,2166.49,25487.69,6023.88,147.19
Hyderabad,India,142.28,20.2,100.82,108.76,20.63,35.98,144.52,68.76,502.88,24334.18,857.07,-70.31
Montevideo,Uruguay,437.02,62.29,188.78,161.01,45.75,150.1,311.76,314.16,732.44,32407.85,2281.5,-624.28
Tel Aviv-Yafo,Israel,1322.85,96.32,330.51,323.26,77.31,254.55,413.35,954.7,2629.1,39658.16,10351.71,-189.05
Timisoara,Romania,287.92,39.24,134.66,111.08,28.84,118.24,231.76,292.73,699.13,18489.35,1385.35,-252.61
Taipei,Taiwan,462.62,69.51,348.16,166.67,46.0,106.3,313.43,529.59,1528.48,23607.15,10119.79,15.79
Kolkata,India,124.07,11.13,90.79,110.67,17.31,42.74,149.43,42.25,368.29,22421.02,892.88,-177.84
Skopje,Macedonia,228.85,41.8,131.74,98.82,25.11,142.92,246.98,190.86,448.03,20288.17,1202.07,-468.2
Shanghai,China,825.15,43.02,241.95,169.86,51.19,76.22,312.71,771.48,1267.13,19850.12,10367.14,-452.98
Bangkok,Thailand,519.37,49.15,248.66,205.34,69.62,126.63,298.91,278.94,762.2,28766.43,4148.74,-755.46
Mumbai,India,443.89,13.91,106.98,122.07,28.08,64.8,163.92,71.98,556.27,23231.5,4812.09,-387.37
Reykjavik,Iceland,1517.02,184.17,382.58,368.13,62.06,173.59,507.02,279.96,3316.1,34358.19,4365.09,121.54
Amman,Jordan,361.87,56.68,192.98,254.36,64.27,137.92,328.21,274.2,621.93,30029.32,1161.75,-774.36
Pune,India,190.02,22.3,110.81,114.68,18.33,44.06,171.56,81.27,605.44,24440.35,1311.5,-66.31
Stockholm,Sweden,1123.73,141.14,297.63,254.72,43.13,122.53,385.95,132.39,2822.83,23930.4,8050.93,454.0
Buenos Aires,Argentina,252.03,23.92,127.22,109.58,29.53,110.31,250.98,185.5,551.75,18872.87,2892.09,-351.81
Minsk,Belarus,354.44,23.92,131.33,130.74,36.31,71.06,298.35,458.37,494.04,20143.97,1478.92,-552.09
San Jose,Costa Rica,494.41,83.58,230.23,174.97,61.2,150.73,316.44,367.73,807.62,26821.97,1549.32,-703.94
Casablanca,Morocco,322.88,47.85,138.81,142.04,27.92,81.25,261.41,162.15,462.5,21917.75,1507.75,-559.65
Lodz,Poland,366.82,40.3,137.99,117.78,30.04,212.43,241.16,262.53,785.96,20157.04,1380.19,-360.55
Montreal,Canada,811.25,108.84,294.17,239.99,26.27,132.37,258.76,513.1,2488.06,17695.22,3512.15,616.43
Sao Paulo,Brazil,423.32,72.75,148.93,156.32,28.97,102.04,228.65,436.03,536.08,22201.88,2217.66,-624.89
Gothenburg,Sweden,951.05,117.69,285.73,243.73,36.51,96.34,337.82,144.8,2489.14,20818.85,5266.79,420.27
Dublin,Ireland,1765.64,188.67,239.72,309.72,45.85,263.26,335.16,1187.3,2885.52,29204.6,5467.58,-262.5
Moscow,Russia,801.82,43.48,169.36,151.39,47.37,152.82,373.87,596.57,1106.13,22501.15,4475.35,-633.98
Santo Domingo,Dominican Republic,333.34,125.98,157.46,148.06,25.64,123.35,277.26,173.71,382.28,23290.3,1069.86,-808.81
Adelaide,Australia,809.17,109.8,234.52,290.43,38.82,194.93,278.24,451.72,3024.72,17291.08,2392.69,1068.81
Zurich,Switzerland,1690.31,231.86,646.38,367.58,87.02,250.09,497.05,2501.89,6514.87,24452.94,10719.61,2744.57
Yerevan,Armenia,279.64,19.35,121.8,103.28,49.18,85.56,264.51,161.49,337.05,22621.69,1195.64,-586.26
Manila,Philippines,424.47,21.94,146.88,101.05,50.13,194.42,247.13,164.09,408.35,19080.54,1973.73,-777.67
Brisbane,Australia,1025.49,153.25,237.07,311.77,45.63,183.52,298.6,1224.77,3454.23,16883.91,3792.51,1198.9
Jakarta,Indonesia,356.83,24.29,177.16,205.52,43.42,143.86,248.7,160.11,472.34,31444.27,1882.27,-727.44
Ankara,Turkey,184.78,41.86,136.75,110.31,23.72,82.1,185.38,276.51,501.79,22953.03,634.3,-263.11
Lviv,Ukraine,350.29,15.31,122.25,85.5,19.56,106.92,322.52,219.46,389.17,23180.79,1021.36,-633.18
Novosibirsk,Russia,324.89,17.68,147.11,107.48,31.34,117.84,312.29,254.03,497.36,20667.41,1175.4,-561.27
Bursa,Turkey,170.58,43.26,145.14,108.94,26.68,95.75,172.12,228.58,505.99,23816.96,546.91,-256.48
Brussels,Belgium,868.9,122.55,292.16,242.32,29.77,197.57,343.32,792.8,2610.25,24838.7,3289.04,513.66
Jerusalem,Israel,945.89,95.45,269.63,308.39,81.25,222.23,401.27,645.45,2178.68,39810.5,7229.86,-145.44
Melbourne,Australia,1136.76,146.67,239.26,304.24,52.76,199.21,293.88,1425.47,3182.83,17352.9,6138.7,810.04
Perth,Australia,876.12,132.38,234.2,309.12,44.82,207.94,288.56,1356.74,2842.9,17372.69,3917.46,749.76
Sydney,Australia,1544.16,195.61,257.28,327.36,54.0,188.8,320.08,1583.95,3440.93,17175.95,7872.15,553.64
Alexandria,Egypt,129.21,14.41,114.68,100.91,22.32,40.39,270.05,63.17,186.89,26301.92,549.26,-505.09
Quito,Ecuador,336.85,73.31,159.55,151.16,46.64,90.87,308.65,315.36,600.99,28870.41,1331.22,-566.06
